conf_block_hash,fee_rate_median,fee_rate_mean,mempool_size_median,mempool_size_mean,mempool_tx_count_median,n_txs
000000000000000000000bc62fe1fb7a7f42d3cd5778843679d01421f83ed314,2.0,3.158490566037736,539681.0972222222,539681.0972222222,1488.6180555555557,265
000000000000000000000bd860d6307ab4f0d5d7d0e55a88b0ea6a05976cc284,1.0,2.128,445250.8888888889,445250.8888888889,1512.8402777777778,125
000000000000000000000bf2c6e15e4f0719b6d2de09982098a93415692ebe51,3.0,4.303258145363409,25643491.590277776,25531295.64111668,107483.09722222222,399
000000000000000000000c136f9f54e2e4a147dc22dab26b924505e1d892d839,2.0,2.5125786163522013,426610.9455782313,682032.084907443,1356.8367346938776,318
000000000000000000000c1a8e48265e8fb46f5310a200f64d09a0b8d489b7c5,2.0,2.8506787330316743,2902703.7569444445,2902703.7569444445,3337.3055555555557,442
000000000000000000000c393827326e4531b81535011d32ca6151476746cee1,1.0,2.486081370449679,28184033.118055556,28184033.118055556,92123.125,467
000000000000000000000c5314e19d0deee800b1ab40676853dacd6ad1a40168,2.0,4.050761421319797,1146022.75,1146022.75,4036.2430555555557,788
000000000000000000000c776871215cf5c0f15e946d98ec5e28bd14742138dd,2.0,2.67687074829932,32614498.708333332,31578614.848261528,54250.243055555555,294
000000000000000000000cabaa6898d37c8390cee5d6fc53a4194cc9edfefb26,1.0,1.5200617283950617,896633.0277777778,832803.1993527092,2980.0486111111113,648
000000000000000000000cdbd57067487bd542e00d08d10be956e1e6883a3260,1.0,2.3333333333333335,24253968.270833332,24253968.270833332,61313.305555555555,183
000000000000000000000d0ceed04b792d25cb95234dc72e35476ecd2a0e2cbd,1.0,3.556552962298025,22594125.215277776,22149431.083482943,86152.82638888889,557
000000000000000000000d0e0f1ec04510db0d8622c0c001421bd3c6a36e4b89,3.0,4.312762973352034,2755755.388888889,2549872.638129188,5587.708333333333,713
000000000000000000000d1b8abbf61243cc81446cdf4a909fc2068a581debcf,1.0,1.69364161849711,20084970.256944444,19998314.009172287,87419.80555555556,346
000000000000000000000d30d602809bb5584799e1e0a398e5ba9292c57f0832,2.0,2.075187969924812,674950.875,674950.875,1931.6180555555557,133
000000000000000000000d93113a181d742cf13434c0d39ca49418026ca8bfd6,2.0,2.526813880126183,753927.8333333334,753927.8333333334,2513.2638888888887,317
000000000000000000000d935151c7a7c30b31c96fe98ba830815ff230186bd9,2.0,2.83976833976834,966651.4861111111,966651.4861111111,3147.5833333333335,518
000000000000000000000e72f55fed0472c31ebb7fea2082faf0feb7961dfc70,1.0,2.8536585365853657,452075.94444444444,452075.94444444444,1437.7569444444443,738
000000000000000000000ed965b034585b3e83b3a3511fc319d97b97c2029fc2,1.0,1.8542568542568543,970577.2430555555,894356.6878607504,2775.7291666666665,693
000000000000000000000ef1c9db2f006859af34c284a088f4666400a52b05f3,2.0,2.9001814882032666,1071966.9444444445,1071966.9444444445,2314.097222222222,551
000000000000000000000f19dcc9737316c01c694748dddb0ef2b40bb44a1dae,1.0,1.8711656441717792,954207.3541666666,935272.9083503749,3389.625,815
000000000000000000000f69e2eab0d1ba653d71586b5a7a545e391f9140c3d2,1.0,3.141025641025641,388869.2291666667,388869.2291666667,1107.9097222222222,234
000000000000000000000f7cda3ab2cf5539888ba1252df99db7f3ccc3122739,2.0,3.0966057441253265,270418.05555555556,270418.05555555556,881.4583333333334,383
000000000000000000000f81e3d0ce096962585b6daa57a5cc86612321c48a31,2.0,2.511737089201878,32126105.145833332,31567291.157945354,85039.02777777778,426
000000000000000000000f90947a27ce4f53637046d919c82bc1a74ce491070e,2.0,3.9849246231155777,751395.3055555555,751395.3055555555,2277.9791666666665,199
000000000000000000000fc0cf3c0c93ed819f4f5344d083bc533b2c744ebb11,2.0,3.059880239520958,239693.40277777778,239693.40277777778,873.3194444444445,501
000000000000000000001000aee6e3ae509c48b95212852c4d57a21fc9813ebd,2.0,2.851063829787234,1364691.5972222222,1314802.1221255106,4132.479166666667,1034
00000000000000000000100f736c47652f2d25a152304451fc0b0304487cbe5c,2.0,2.4803149606299213,375922.6875,375922.6875,1147.1180555555557,254
00000000000000000000105e0065ae8baacbcd641d9294bf878d5c2879cdc2e1,2.0,3.353448275862069,20462692.527777776,20459116.738894872,81675.80555555556,232
0000000000000000000010b6ce0bdfedeeedfb28ce6a2cac078792bc9891ed38,5.0,7.551876379690949,30477270.854166668,30223814.9442145,74866.75,906
0000000000000000000010c59290feaeb5be726c29799bd1bdfe6c98afcb1c41,1.0,1.6709677419354838,17486859.194444444,17383464.677419353,83147.55555555556,465
0000000000000000000010df1b913b738edf1eaeccd3fe4702033554546d076a,3.0,4.739035087719298,20971442.729166668,21306251.611941095,53610.01388888889,912
0000000000000000000010ed8d2bee60ba5c1dcbc7ee85ca923a7a0778c854e9,2.0,2.709939148073022,20702414.625,20702414.625,79905.70138888889,493
00000000000000000000115fa5bfd6ec58ef6aa1c08a3e5036a75a4dbdc0d27b,5.0,7.108459869848156,24500331.888888888,24360986.353104662,91579.90972222222,922
0000000000000000000011961f67f565ca606c956b59a644e5f56c7d9d87cccd,1.0,2.3057851239669422,20825263.729166668,21002899.628443528,92693.28472222222,242
